ID,Year,Latitude,Longitude,Subs,System,Taxon,Effect2,Study,n_subsidy,Subsidy_mean,Subsidy_sd,n_nosubsidy,Nosubsidy_mean,Nosubsidy_sd
Degerman_et_al2018Hydrobiologia,2018,63.56666667,19.9,Nutrients,aquatic,other,dir,experimental,3,66.96296296,10.07407407,3,33.03703704,10.51851852
Degerman_et_al2018Hydrobiologia,2018,63.56666667,19.9,Nutrients,aquatic,other,dir,experimental,3,44.74074074,8.592592593,3,58.81481481,10.22222222
Degerman_et_al2018Hydrobiologia,2018,63.56666667,19.9,Nutrients,aquatic,other,dir,experimental,3,18.37037037,13.92592593,3,12,4.148148148
Degerman_et_al2018Hydrobiologia,2018,63.56666667,19.9,Nutrients,aquatic,other,dir,experimental,3,44.74074074,8.888888889,3,78.66666667,23.25925926
Degerman_et_al2018Hydrobiologia,2018,63.56666667,19.9,Nutrients,aquatic,other,asc,experimental,3,68.71008743,24.54802725,3,11.15207106,1.14185924
Degerman_et_al2018Hydrobiologia,2018,63.56666667,19.9,Nutrients,aquatic,other,asc,experimental,3,15.60553032,12.46430841,3,17.70492902,8.753469575
Degerman_et_al2018Hydrobiologia,2018,63.56666667,19.9,Nutrients,aquatic,other,asc,experimental,3,14.58770681,9.191210945,3,1.603723775,1.608454524
Earl_and_Semlitsch2012Oecologia,2012,38.77,-91.4,Plant_litter,aquatic,vertebrate,asc,experimental,12,11.22283333,7.265073232,11,8.56,8.808713868
Earl_and_Semlitsch2012Oecologia,2012,38.77,-91.4,Plant_litter,aquatic,vertebrate,asc,experimental,10,1.225,1.960142228,10,0.7971,0.955668637
Earl_and_Semlitsch2012Oecologia,2012,38.77,-91.4,Plant_litter,aquatic,vertebrate,asc,experimental,9,33.8,18.79627623,9,13.34555556,10.6236777
Eggert_and_Wallace2003,2003,35.059725,-83.430557,Plant_litter,aquatic,invertebrate,dir,manipulative,3,209.0759076,68.11264749,3,18.86688669,21.46568076
Eggert_and_Wallace2003,2003,35.059725,-83.430557,Plant_litter,aquatic,invertebrate,dir,manipulative,3,0.126114802,0.028387211,3,0.001362596,0.001933941
Eggert_and_Wallace2003,2003,35.059725,-83.430557,Plant_litter,aquatic,invertebrate,dir,manipulative,3,0.867326733,0.017262966,3,0.022442244,0.028650211
Fey_et_al2015Oecologia,2015,43.72,-72.21333333,Plant_litter,aquatic,other,dir,experimental,5,134.8737148,52.47688755,5,65.88312134,31.56020012
Fey_et_al2015Oecologia,2015,43.72,-72.21333333,Plant_litter,aquatic,other,dir,experimental,5,2.1875,0.1875,5,3.3203125,0.40625
Fey_et_al2015Oecologia,2015,43.72,-72.21333333,Plant_litter,aquatic,invertebrate,asc,experimental,5,10.63829787,3.546099291,5,83.92434988,48.46335697
Fey_et_al2015Oecologia,2015,43.72,-72.21333333,Plant_litter,aquatic,invertebrate,asc,experimental,5,29.947483,7.415445385,5,12.15095271,5.402742554
Fey_et_al2015Oecologia,2015,43.72,-72.21333333,Plant_litter,aquatic,invertebrate,asc,experimental,5,4.757663255,2.334027623,5,0.681607295,0.575014526
Fey_et_al2015Oecologia,2015,43.72,-72.21333333,Plant_litter,aquatic,invertebrate,asc,experimental,5,7.234927235,3.492723493,5,21.87110187,6.652806653
Fey_et_al2015Oecologia,2015,43.72,-72.21333333,Plant_litter,aquatic,invertebrate,asc,experimental,5,1.35,1.2125,5,3.3125,0.9375
Fey_et_al2015Oecologia,2015,43.72,-72.21333333,Plant_litter,aquatic,invertebrate,asc,experimental,5,23.2513993,7.81691267,5,7.784237028,4.65653837
Fey_et_al2015Oikos,2015,43.72,-72.21333333,Plant_litter,aquatic,other,dir,experimental,5,4.186463691,0.811355688,5,16.31631352,3.772721662
Fey_et_al2015Oikos,2015,43.72,-72.21333333,Plant_litter,aquatic,other,dir,experimental,5,3.943056984,0.892491257,5,16.31631352,3.772721662
Fey_et_al2015Oikos,2015,43.72,-72.21333333,Plant_litter,aquatic,other,dir,experimental,5,4.244444444,0.533333333,5,2.459259259,0.162962963
Fey_et_al2015Oikos,2015,43.72,-72.21333333,Plant_litter,aquatic,other,dir,experimental,5,3.066666667,0.296296296,5,2.459259259,0.162962963
Fey_et_al2015Oikos,2015,43.72,-72.21333333,Plant_litter,aquatic,invertebrate,asc,experimental,5,2.088091194,0.558014192,5,33.39888753,3.34814007
Fey_et_al2015Oikos,2015,43.72,-72.21333333,Plant_litter,aquatic,invertebrate,asc,experimental,5,6.490203155,2.511118782,5,33.39888753,3.34814007
Fey_et_al2015Oikos,2015,43.72,-72.21333333,Plant_litter,aquatic,invertebrate,asc,experimental,5,4.642735043,1.579487179,5,4.116239316,0.806837607
Fey_et_al2015Oikos,2015,43.72,-72.21333333,Plant_litter,aquatic,invertebrate,asc,experimental,5,4.027350427,0.451282051,5,4.116239316,0.806837607
Field_and_Reynolds2011Proceedings_of_the_Royal_Society_B,2011,52.3,-127.8,Vertebrates,terrestrial,vertebrate,asc,descriptive,14,6.567857143,0.758466627,5,4.776,0.6410117
Field_and_Reynolds2011Proceedings_of_the_Royal_Society_B,2011,52.3,-127.8,Vertebrates,terrestrial,vertebrate,asc,descriptive,16,7.2325,0.569059531,6,5.151666667,0.616989555
Geddes2015Aquatic_Sciences,2015,42.4056,-85.4008,Plant_litter,aquatic,other,dir,experimental,4,2.341726619,0.207733813,4,2.776079137,0.396582734
Geddes2015Aquatic_Sciences,2015,42.4056,-85.4008,Plant_litter,aquatic,other,dir,experimental,4,5.20754717,0.79245283,4,4.226415094,0.113207547
Geddes2015Aquatic_Sciences,2015,42.4056,-85.4008,Plant_litter,aquatic,other,dir,experimental,4,1.148247978,0.296495957,4,0.706199461,0.075471698
Gende_and_Willson2001,2001,58.3,-134.4,Vertebrates,terrestrial,vertebrate,asc,descriptive,7,4.21,0.7,7,5.14,0.7408
Glaholt_and_Vanni2005Freshwater_Biology,2005,39.510533,-84.723623,Earth_worms,aquatic,other,des,experimental,40,50.7,2.47,40,48,1.77
Glaholt_and_Vanni2005Freshwater_Biology,2005,39.510533,-84.723623,Earth_worms,aquatic,other,des,experimental,40,48.8,0.598,40,48,1.77
Glaholt_and_Vanni2005Freshwater_Biology,2005,39.510533,-84.723623,Earth_worms,aquatic,other,des,experimental,4,12.1,11.7,4,7.9,3.64
Glaholt_and_Vanni2005Freshwater_Biology,2005,39.510533,-84.723623,Earth_worms,aquatic,other,des,experimental,4,21.6,8.08,4,7.9,3.64
Graf_et_al2017Biology_Letters,2017,49.25496111,7.961580556,Insects,terrestrial,invertebrate,des,experimental,13,3.140587445,0.836099796,13,0.773970052,0.560566909
Graf_et_al2017Biology_Letters,2017,49.25496111,7.961580556,Insects,terrestrial,invertebrate,des,experimental,13,0.803827751,0.602870813,13,2.602870813,0.947368421
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,31.35969142,4.705882353,4,6.094503375,0.308582449
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,18.09064609,2.584378014,4,6.788813886,0.732883317
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,24.3780135,1.851494696,4,5.323047252,0.154291225
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,13.42333655,2.237222758,4,6.634522662,0.655737705
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,15.73770492,0.964320154,4,5.785920926,0.50144648
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,10.22179364,0.617164899,4,5.515911283,0.578592093
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,6.017357763,0.385728062,4,6.287367406,0.347155256
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,4.860173578,0.964320154,4,4.513018322,0.385728062
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,4.397299904,0.424300868,4,4.898746384,0.887174542
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,4.628736741,0.462873674,4,4.667309547,0.424300868
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,16.0033389,0.590984975,4,11.69616027,0.841402337
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,14.721202,0.771285476,4,11.61602671,0.330550918
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,14.02003339,1.282136895,4,11.18530885,0.440734558
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,13.0984975,0.590984975,4,11.21535893,0.731218698
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,13.53923205,0.611018364,4,10.92487479,0.260434057
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,12.04674457,1.622704508,4,11.07512521,0.58096828
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,12.55759599,0.771285476,4,10.9148581,0.89148581
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,11.65609349,1.202003339,4,10.75459098,0.330550918
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,11.22537563,1.262103506,4,10.40400668,1.111853088
Gu_and_Wyatt2016Freshwater_Biology,2016,64.7,-148.3,Nutrients,aquatic,other,dir,experimental,4,10.05342237,0.701168614,4,10.45409015,0.590984975
Gustafsson_et_al2014Environmental_Biology_of_Fishes,2014,59.61513611,12.26983889,Insects,aquatic,invertebrate,des,manipulative,4,2.219725639,0.092565074,4,2.617076632,0.18488321
Havik_et_al2014PLoS_One,2014,-5.78333333,-81.06666667,Seabird_derived,terrestrial,other,dir,descriptive,6,8.753857819,3.709991039,6,2.373818829,1.046096432
Havik_et_al2014PLoS_One,2014,-5.78333333,-81.06666667,Seabird_derived,terrestrial,other,dir,descriptive,6,8.272695874,2.050418562,6,2.373818829,1.046096432
Havik_et_al2014PLoS_One,2014,-5.78333333,-81.06666667,Seabird_derived,terrestrial,other,dir,descriptive,6,7.708262959,3.370755316,6,2.373818829,1.046096432
Havik_et_al2014PLoS_One,2014,-5.78333333,-81.06666667,Seabird_derived,terrestrial,other,dir,descriptive,6,11.75105141,5.622863819,6,2.373818829,1.046096432
Havik_et_al2014PLoS_One,2014,-5.78333333,-81.06666667,Seabird_derived,terrestrial,other,dir,descriptive,6,7.672033419,7.662753628,6,2.373818829,1.046096432
Havik_et_al2014PLoS_One,2014,-5.78333333,-81.06666667,Seabird_derived,terrestrial,other,dir,descriptive,6,15.01310729,5.81597217,6,30.65102574,9.347688931
Havik_et_al2014PLoS_One,2014,-5.78333333,-81.06666667,Seabird_derived,terrestrial,other,dir,descriptive,6,14.62909268,3.973146215,6,30.65102574,9.347688931
Havik_et_al2014PLoS_One,2014,-5.78333333,-81.06666667,Seabird_derived,terrestrial,other,dir,descriptive,6,14.83732121,4.388613717,6,30.65102574,9.347688931
Havik_et_al2014PLoS_One,2014,-5.78333333,-81.06666667,Seabird_derived,terrestrial,other,dir,descriptive,6,19.22593493,9.266624175,6,30.65102574,9.347688931
Havik_et_al2014PLoS_One,2014,-5.78333333,-81.06666667,Seabird_derived,terrestrial,other,dir,descriptive,6,7.653982555,2.915188354,6,30.65102574,9.347688931
Heerhartz_et_al2016Estuaries_and_Coasts,2016,47.72485278,-122.4716972,Marine_debris,terrestrial,invertebrate,dir,descriptive,29,90.91770574,18.47319202,29,12.0542394,4.154613466
Heerhartz_et_al2016Estuaries_and_Coasts,2016,47.72485278,-122.4716972,Marine_debris,terrestrial,invertebrate,dir,descriptive,29,59.12133891,17.13389121,29,25.70083682,10.35564854
Heerhartz_et_al2016Estuaries_and_Coasts,2016,47.72485278,-122.4716972,Marine_debris,terrestrial,invertebrate,dir,descriptive,29,55.54393305,17.79288703,29,34.92677824,17.32217573
Heerhartz_et_al2016Estuaries_and_Coasts,2016,47.72485278,-122.4716972,Marine_debris,terrestrial,invertebrate,dir,descriptive,29,88.81922675,40.22988506,29,34.48275862,16.71891327
Heerhartz_et_al2016Estuaries_and_Coasts,2016,47.72485278,-122.4716972,Marine_debris,terrestrial,invertebrate,dir,descriptive,29,142.6332288,52.24660397,29,183.646813,51.72413793
Henschel_et_al.2001Oikos,2001,49.6,9.95,Insects,terrestrial,invertebrate,dir,descriptive,9,21.9,21.1,9,9.2,7.1
Henschel_et_al.2001Oikos,2001,49.6,9.95,Insects,terrestrial,invertebrate,dir,descriptive,9,3.6,3.1,9,1.5,1
Henschel_et_al.2001Oikos,2001,49.6,9.95,Insects,terrestrial,invertebrate,dir,descriptive,9,10.5,7.9,9,8.3,9.3
Henschel_et_al.2001Oikos,2001,49.6,9.95,Insects,terrestrial,invertebrate,des,descriptive,9,5.9,5.4,9,4.1,2.2
Henschel_et_al.2001Oikos,2001,49.6,9.95,Insects,terrestrial,invertebrate,des,descriptive,9,5.5,4.1,9,6.8,5.9
Henschel_et_al.2001Oikos,2001,49.6,9.95,Insects,terrestrial,invertebrate,des,descriptive,9,9,4.1,9,15,10
Iwata_et_al.2003Ecography,2003,42.63,141.6,Insects,terrestrial,vertebrate,dir,descriptive,3,93.107,110.446294,3,4.726666667,5.787506659
Jessop_et_al.2012Public_Library_of_Science,2012,-37,148,Vertebrates,terrestrial,vertebrate,dir,descriptive,60,3.28,0.413,60,0.079,0.021
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,12.19,3.82,2,15.51,8.31
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,19.9,6.2,2,15.51,8.31
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,4.95,1.76,10,2.92,0.98
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,2.19,0.83,10,2.92,0.98
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,5.55,2.48,10,2.92,0.98
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,2.62,0.83,10,1.72,0.79
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,2.74,0.8,10,1.72,0.79
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,2.33,1.12,10,1.72,0.79
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,0.6,0.27,10,0.81,0.25
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,0.81,0.28,10,0.81,0.25
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,0.6,0.22,10,0.81,0.25
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,10.96,5.58,2,15.25,9.5
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,13.75,3.9,2,15.25,9.5
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,16.59,6.32,10,20.9,13.57
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,6.83,2.75,10,20.9,13.57
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,5.4,2.76,10,20.9,13.57
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,9.45,4.7,10,1.63,0.75
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,4.25,2.12,10,1.63,0.75
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,11.3,6.6,10,1.63,0.75
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,0.46,0.31,10,0.72,0.25
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,0.71,0.27,10,0.72,0.25
Jonsson_and_Wardle2009Acta_Oecologica,2009,66.1,17.1,Insects,terrestrial,invertebrate,dir,descriptive,10,0.66,0.22,10,0.72,0.25
Kato_et_al.2003Oikos,2003,42.71,141.6,Insects,terrestrial,invertebrate,dir,manipulative,6,0.1,0.1225,6,0.03,0.049
Kato_et_al.2003Oikos,2003,42.71,141.6,Insects,terrestrial,invertebrate,dir,manipulative,6,0.17,0.098,6,0.11,0.098
Kato_et_al.2003Oikos,2003,42.71,141.6,Insects,terrestrial,invertebrate,dir,manipulative,6,0.34,0.1225,6,0.09,0.0735
Kato_et_al.2003Oikos,2003,42.71,141.6,Insects,terrestrial,invertebrate,dir,manipulative,6,0.65,0.2205,6,0.25,0.098
Kato_et_al.2003Oikos,2003,42.71,141.6,Insects,terrestrial,invertebrate,dir,manipulative,6,0.24,0.098,6,0.31,0.0735
Kato_et_al.2003Oikos,2003,42.71,141.6,Insects,terrestrial,invertebrate,dir,manipulative,6,0.52,0.2449,6,0.41,0.1715
Kawaguchi_and_Nakano2001Freshwater_Biology,2001,42.716667,141.6,Invertebrates,aquatic,vertebrate,dir,descriptive,2,2821,379.2921,2,1273,325.1277
Kawaguchi_and_Nakano2001Freshwater_Biology,2001,42.716667,141.6,Invertebrates,aquatic,vertebrate,dir,descriptive,2,4052,433.4565,2,1692,531.0372
Kawaguchi_and_Nakano2001Freshwater_Biology,2001,42.716667,141.6,Invertebrates,aquatic,vertebrate,dir,descriptive,2,5972,444.3459,2,2171,498.5103
Kawaguchi_and_Nakano2001Freshwater_Biology,2001,42.716667,141.6,Invertebrates,aquatic,vertebrate,dir,descriptive,2,2099,359.4931,2,1456,270.9633
Kawaguchi_et_al2003Ecology,2003,42.716667,141.6,Invertebrates,aquatic,vertebrate,dir,manipulative,4,412.5,35.18,4,212.5,96
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,1.969111111,0.225555556,2,1.363333333,0.135333333
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,2.046444444,0.232,2,1.363333333,0.135333333
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,1.46,0.225555556,2,1.073333333,0.141777778
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,1.008888889,0.212666667,2,1.073333333,0.141777778
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,1.144222222,0.161111111,2,0.88,0.096666667
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,0.680222222,0.174,2,0.88,0.096666667
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,0.654444444,0.167555556,2,0.564222222,0.109555556
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,0.435333333,0.148222222,2,0.564222222,0.109555556
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,1.427777778,0.244888889,2,1.421333333,0.128888889
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,1.672666667,0.232,2,1.421333333,0.128888889
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,1.769333333,0.232,2,1.344,0.128888889
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,1.350444444,0.225555556,2,1.344,0.128888889
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,0.609333333,0.180444444,2,1.086222222,0.096666667
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,1.041111111,0.167555556,2,1.086222222,0.096666667
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,0.717459677,0.205806452,2,0.916834677,0.102903226
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,0.76891129,0.167217742,2,0.916834677,0.102903226
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,0.955423387,0.463064516,2,1.013306452,0.154354839
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,0.537379032,0.257258065,2,1.013306452,0.154354839
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,1.026169355,0.23796371,2,0.891108871,0.147923387
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,0.434475806,0.244395161,2,0.891108871,0.147923387
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,0.920506073,0.316417004,2,0.778441296,0.116234818
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,1.004453441,0.219554656,2,0.778441296,0.116234818
Keeley2016Canadian_Journal_of_Fisheries_and_Aquatic_Sciences,2016,44.35091667,-115.1198639,Vertebrates,aquatic,invertebrate,dir,manipulative,2,0.791356275,0.219554656,2,0.888218623,0.142064777
